state,positive,negative,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,recovered,death,deathConfirmed,deathProbable
AK,6233.0,370651.0,46.0,0.0,0.0,0.0,10.0,2281.0,39.0,39.0,0.0
AL,128239.0,835994.0,959.0,14753.0,0.0,1501.0,0.0,51154.0,2217.0,2114.0,103.0
AR,62112.0,675337.0,435.0,4341.0,0.0,0.0,90.0,56261.0,841.0,0.0,0.0
AS,0.0,1514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,202861.0,1011066.0,752.0,21449.0,248.0,0.0,146.0,31021.0,5065.0,4799.0,266.0
CA,712052.0,10868318.0,4851.0,0.0,1339.0,0.0,0.0,0.0,13163.0,0.0,0.0
CO,57775.0,660623.0,236.0,7053.0,0.0,0.0,0.0,5979.0,1853.0,0.0,0.0
CT,53108.0,1150871.0,65.0,11180.0,0.0,0.0,0.0,8967.0,4467.0,3582.0,885.0
DC,14077.0,280720.0,73.0,0.0,22.0,0.0,8.0,11211.0,608.0,0.0,0.0
DE,17549.0,222981.0,62.0,0.0,9.0,0.0,0.0,9467.0,606.0,534.0,72.0
FL,633442.0,4060360.0,3511.0,39611.0,0.0,0.0,0.0,0.0,11651.0,11651.0,0.0
GA,274613.0,2107024.0,2469.0,25025.0,0.0,4588.0,0.0,0.0,5795.0,0.0,0.0
HI,8653.0,193533.0,288.0,532.0,48.0,0.0,27.0,2634.0,74.0,0.0,0.0
IA,64645.0,565009.0,310.0,0.0,87.0,0.0,39.0,48074.0,1126.0,0.0,0.0
ID,32368.0,226728.0,162.0,1394.0,46.0,381.0,0.0,15212.0,368.0,333.0,35.0
IL,240345.0,3881230.0,1596.0,0.0,347.0,0.0,142.0,0.0,8300.0,8091.0,209.0
IN,95750.0,996846.0,887.0,11143.0,247.0,2237.0,69.0,73390.0,3325.0,3106.0,219.0
KS,43940.0,375307.0,336.0,2361.0,94.0,649.0,35.0,1730.0,458.0,0.0,0.0
KY,49991.0,787220.0,589.0,4652.0,138.0,1396.0,0.0,10463.0,966.0,957.0,9.0
LA,149838.0,1754045.0,873.0,0.0,0.0,0.0,132.0,134432.0,5004.0,4841.0,163.0
MA,121131.0,1650575.0,308.0,12295.0,58.0,0.0,29.0,103920.0,9060.0,8853.0,207.0
MD,109319.0,1236327.0,370.0,14351.0,113.0,0.0,0.0,7026.0,3766.0,3623.0,143.0
ME,4567.0,268465.0,11.0,423.0,6.0,0.0,1.0,3978.0,133.0,132.0,1.0
MI,114468.0,2702348.0,629.0,0.0,156.0,0.0,78.0,76151.0,6781.0,6509.0,272.0
MN,77085.0,1073769.0,297.0,6566.0,135.0,1854.0,0.0,69521.0,1882.0,1830.0,52.0
MO,87213.0,910884.0,934.0,0.0,0.0,0.0,113.0,0.0,1542.0,0.0,0.0
MS,84365.0,497221.0,856.0,5326.0,190.0,0.0,111.0,67918.0,2526.0,2364.0,162.0
MT,7691.0,246182.0,150.0,461.0,0.0,0.0,0.0,5584.0,109.0,0.0,0.0
NC,170553.0,2144757.0,858.0,0.0,270.0,0.0,0.0,145884.0,2779.0,2779.0,0.0
ND,12267.0,191830.0,66.0,575.0,16.0,153.0,0.0,9834.0,122.0,118.0,4.0
NE,34574.0,331067.0,162.0,2014.0,0.0,0.0,0.0,26363.0,399.0,0.0,0.0
NH,7297.0,203984.0,8.0,715.0,0.0,221.0,0.0,6634.0,432.0,0.0,0.0
NJ,192595.0,2709672.0,514.0,22707.0,99.0,0.0,29.0,33991.0,15961.0,14181.0,1780.0
NM,25460.0,739939.0,72.0,3151.0,0.0,0.0,0.0,13073.0,787.0,0.0,0.0
NV,69872.0,532436.0,675.0,0.0,199.0,0.0,113.0,1817.0,1336.0,0.0,0.0
NY,436218.0,7992259.0,445.0,89995.0,117.0,0.0,61.0,75203.0,25336.0,0.0,0.0
OH,125767.0,2166981.0,746.0,13574.0,244.0,2989.0,126.0,105065.0,4176.0,3890.0,286.0
OK,60118.0,833124.0,545.0,4961.0,220.0,0.0,0.0,50646.0,821.0,0.0,0.0
OR,27075.0,539307.0,139.0,2167.0,45.0,0.0,22.0,5144.0,468.0,0.0,0.0
PA,135611.0,1552085.0,550.0,0.0,0.0,0.0,67.0,111201.0,7712.0,0.0,0.0
RI,22078.0,256563.0,78.0,2542.0,8.0,0.0,4.0,2130.0,1051.0,0.0,0.0
SC,120503.0,838529.0,892.0,7948.0,228.0,0.0,145.0,51431.0,2794.0,2652.0,142.0
SD,14003.0,134922.0,77.0,1043.0,0.0,0.0,0.0,10959.0,169.0,0.0,0.0
TN,157831.0,2080400.0,1082.0,7061.0,351.0,0.0,165.0,120675.0,1797.0,1743.0,54.0
TX,621667.0,4447195.0,4149.0,0.0,1476.0,0.0,0.0,522087.0,12870.0,0.0,0.0
UT,52822.0,615603.0,147.0,3134.0,47.0,785.0,0.0,44658.0,410.0,0.0,0.0
VA,122542.0,1488149.0,1114.0,16433.0,266.0,0.0,134.0,15319.0,2641.0,2508.0,133.0
VT,1637.0,137459.0,2.0,0.0,0.0,0.0,0.0,1433.0,58.0,58.0,0.0
WA,74939.0,1405100.0,328.0,6787.0,0.0,0.0,48.0,0.0,1931.0,1931.0,0.0
WI,82182.0,1191548.0,287.0,5916.0,91.0,1030.0,0.0,68641.0,1150.0,1142.0,8.0
WV,10642.0,430943.0,146.0,0.0,48.0,0.0,27.0,8266.0,230.0,228.0,2.0
WY,3911.0,72899.0,14.0,221.0,0.0,0.0,0.0,3249.0,41.0,0.0,0.0
